player_name,team_name,seed,multiplier
ADAY MARA,Michigan,1,1
ADDISON ARNOLD,Arizona,1,1
AJ BROWN,Florida,1,1
ALEX CONDON,Florida,1,1
ALEX KOVATCHEV,Florida,1,1
ALEX LLOYD,Florida,1,1
ANTHONY DELLORSO,Arizona,1,1
BOOGIE FLAND,Florida,1,1
BRAYDEN BURRIES,Arizona,1,1
BROCK DAVIS,Duke,1,1
BRYCE JAMES,Arizona,1,1
CALEB FOSTER,Duke,1,1
CAMERON BOOZER,Duke,1,1
CAMERON SHEFFIELD,Duke,1,1
CAYDEN BOOZER,Duke,1,1
CHARLIE MAY,Michigan,1,1
CJ INGRAM,Florida,1,1
COOPER JOSEFSBERG,Florida,1,1
DAME SARR,Duke,1,1
DARREN HARRIS,Duke,1,1
DWAYNE ARISTODE,Arizona,1,1
ELLIOT CADEAU,Michigan,1,1
EVAN NELSON,Arizona,1,1
HARRISON HOCHBERG,Michigan,1,1
HOWARD EISLEY JR,Michigan,1,1
IFEANYI UFOCHUKWU,Duke,1,1
ISAIAH BROWN,Florida,1,1
ISAIAH EVANS,Duke,1,1
IVAN KHARCHENKOV,Arizona,1,1
JACK SCOTT,Duke,1,1
JACKSON COOK,Arizona,1,1
JACKSON FRANCOIS,Arizona,1,1
JADEN BRADLEY,Arizona,1,1
KOA PEAT,Arizona,1,1
LJ CASON,Michigan,1,1
MABIL MAWUT,Arizona,1,1
MALICK KORDEL,Michigan,1,1
MALIQ BROWN,Duke,1,1
MICAH HANDLOGTEN,Florida,1,1
MOREZ JOHNSON JR,Michigan,1,1
MOTIEJUS KRIVAS,Arizona,1,1
NIKOLAS KHAMENIA,Duke,1,1
NIMARI BURNETT,Michigan,1,1
OLIVIER RIOUX,Florida,1,1
OSCAR GOODMAN,Michigan,1,1
PATRICK NGONGBA II,Duke,1,1
RICKY LIBURD,Michigan,1,1
RODDY GAYLE JR,Michigan,1,1
RUEBEN CHINYELU,Florida,1,1
SEBASTIAN WILKINS,Duke,1,1
SIDI GUEYE,Arizona,1,1
SVEN DJOPMO,Arizona,1,1
THOMAS HAUGH,Florida,1,1
TOBE AWAKA,Arizona,1,1
TREY MCKENNEY,Michigan,1,1
URBAN KLAVZAR,Florida,1,1
VIKTOR MIKIC,Florida,1,1
WILL TSCHETTER,Michigan,1,1
WINTERS GRADY,Michigan,1,1
XAIVIAN LEE,Florida,1,1
YAXEL LENDEBORG,Michigan,1,1
AARON FINE,Purdue,2,1
ALEC MILLENDER,UConn,2,1
ALEX KARABAN,UConn,2,1
ANTHONY RISE,Iowa State,2,1
ANTIONE WEST JR,Purdue,2,1
BLAKE BUCHANAN,Iowa State,2,1
BRADEN SMITH,Purdue,2,1
BRAYLON MULLINS,UConn,2,1
BRYCE JACKSON,Houston,2,1
CADE KELDERMAN,Iowa State,2,1
CEDRIC LATH,Houston,2,1
CHASE MCCARTY,Houston,2,1
CHRIS CENAC JR,Houston,2,1
CJ COX,Purdue,2,1
DANIEL JACOBSEN,Purdue,2,1
DOMINICK NELSON,Iowa State,2,1
DOMINYKAS PLETA,Iowa State,2,1
DWAYNE KOROMA,UConn,2,1
EMANUEL SHARP,Houston,2,1
ERIC MULDER,Iowa State,2,1
ERIC REIBE,UConn,2,1
FLETCHER LOYER,Purdue,2,1
GICARRI HARRIS,Purdue,2,1
ISIAH HARWELL,Houston,2,1
JACE RAYL,Purdue,2,1
JACK BENTER,Purdue,2,1
JACK LUSK,Purdue,2,1
JACOB FURPHY,UConn,2,1
JACOB MCFARLAND,Houston,2,1
JACOB ROSS,UConn,2,1
JAMARION BATEMON,Iowa State,2,1
JAYDEN ROSS,UConn,2,1
JAYLIN STEWART,UConn,2,1
JOSEPH TUGLER,Houston,2,1
JOSHUA JEFFERSON,Iowa State,2,1
KALIFA SAKHO,Houston,2,1
KILLYAN TOURE,Iowa State,2,1
KINGSTON FLEMINGS,Houston,2,1
KORDEL JEFFERSON,Houston,2,1
LIAM MURPHY,Purdue,2,1
MALACHI SMITH,UConn,2,1
MASON WILLIAMS,Iowa State,2,1
MERCY MILLER,Houston,2,1
MILAN MOMCILOVIC,Iowa State,2,1
MILOS UZAN,Houston,2,1
NATE HEISE,Iowa State,2,1
OMER MAYER,Purdue,2,1
OSCAR CLUFF,Purdue,2,1
RALEIGH BURGESS,Purdue,2,1
RAMON WALKER JR,Houston,2,1
RREZON ELEZAJ,UConn,2,1
SAM KING,Purdue,2,1
SILAS DEMARY JR,UConn,2,1
SOLO BALL,UConn,2,1
