Rk 	Team 	Conf 	W-L 	NetRtg 	ORtg 	DRtg 	AdjT 	Luck 	NetRtg 	ORtg 	DRtg 	NetRtg
1	Michigan 1	B10	33-3	+37.83	127.7	6	89.9	2	70.9	22	+.040	85	+16.12	4	118.8	5	102.6	4	+12.07	12
2	Arizona 1	B12	34-2	+37.83	127.9	4	90.1	3	69.7	66	+.022	128	+14.34	13	117.3	18	103.0	12	+3.08	102
3	Duke 1	ACC	34-2	+37.82	127.3	7	89.5	1	65.6	281	+.051	59	+13.44	22	116.6	30	103.1	15	+10.03	18
4	Houston 2	B12	30-6	+34.44	125.3	10	90.9	4	63.4	351	-.011	212	+12.97	27	116.5	31	103.6	31	+0.64	161
5	Florida 1	SEC	27-8	+33.50	126.0	9	92.5	7	70.4	31	-.042	296	+15.38	8	118.9	4	103.5	30	+7.77	30
6	Illinois 3	B10	26-8	+33.27	131.6	2	98.3	24	65.6	276	-.050	310	+13.39	23	116.9	23	103.5	29	+3.70	91
7	Iowa St. 2	B12	29-7	+32.98	124.2	17	91.3	5	67.0	204	-.013	220	+11.92	38	115.4	50	103.5	26	-3.63	279
8	Purdue 2	B10	29-8	+31.82	131.9	1	100.1	33	64.5	324	-.004	200	+15.56	6	118.5	8	102.9	9	+6.04	48
9	Michigan St. 3	B10	27-7	+28.97	123.4	22	94.4	13	66.3	243	+.007	172	+13.72	20	118.1	11	104.3	51	+3.44	93
10	Connecticut 2	BE	31-5	+28.35	122.4	30	94.0	11	64.7	322	+.055	55	+11.95	36	115.3	52	103.4	24	+7.68	32
11	Vanderbilt 5	SEC	27-9	+27.35	127.1	8	99.8	32	68.7	108	+.006	177	+14.71	11	117.9	13	103.2	17	+0.87	152
12	Alabama 4	SEC	25-9	+27.34	129.6	3	102.2	60	73.1	4	+.015	141	+16.65	2	119.4	1	102.8	7	+13.42	9
13	Nebraska 4	B10	28-6	+27.15	119.1	52	92.0	6	66.6	231	+.040	83	+11.93	37	116.7	27	104.8	58	-6.04	317
14	Tennessee 6	SEC	24-11	+26.90	121.6	31	94.7	14	65.1	306	-.051	312	+14.81	10	119.1	3	104.3	48	+0.66	158
15	Gonzaga 3	WCC	31-4	+26.88	121.0	34	94.1	12	68.4	123	+.062	43	+5.95	85	113.2	80	107.2	100	+8.23	27
16	St. John's 5	BE	30-6	+26.79	120.3	42	93.5	8	69.6	69	+.065	38	+11.91	39	115.1	57	103.2	18	+6.57	44
17	Arkansas 4	SEC	28-8	+25.85	127.7	5	101.9	53	71.3	17	+.057	50	+14.23	15	118.4	10	104.2	44	+4.25	81
18	Virginia 3	ACC	30-6	+25.77	122.8	27	97.1	18	65.9	267	+.047	62	+9.92	69	115.4	51	105.4	74	-3.19	269
19	Louisville 6	ACC	24-11	+24.63	123.5	21	98.8	27	69.7	61	-.021	240	+12.80	29	116.0	39	103.2	20	+2.25	115
20	Texas Tech 5	B12	23-11	+24.52	124.8	14	100.3	35	66.0	263	+.014	148	+15.68	5	118.6	7	102.9	11	+7.55	37
21	Kansas 4	B12	24-11	+24.12	117.6	59	93.5	9	67.8	158	+.043	72	+16.66	1	117.6	14	101.0	1	+10.78	15
22	Iowa 9	B10	23-12	+23.40	123.0	25	99.6	31	62.7	361	-.040	293	+12.48	32	116.1	38	103.6	32	-7.29	336
23	Wisconsin 5	B10	24-11	+23.07	125.1	12	102.0	55	68.9	99	+.024	125	+13.78	19	117.3	20	103.5	28	-1.32	221
24	BYU 6	B12	23-12	+22.65	125.0	13	102.3	61	69.9	48	-.027	250	+14.26	14	116.5	33	102.2	3	+4.84	72
25	Ohio St. 8	B10	21-13	+22.09	124.0	19	101.9	52	66.0	257	-.046	302	+13.81	18	116.8	25	103.0	13	-2.07	237
26	Saint Mary's 7	WCC	27-6	+21.87	119.1	51	97.3	19	64.9	310	+.013	152	+5.29	92	111.8	96	106.5	88	+3.81	88
27	Utah St. 9	MWC	29-7	+21.54	122.9	26	101.4	44	67.7	168	+.061	44	+8.43	77	113.4	79	105.0	65	+2.10	117
28	UCLA 7	B10	24-12	+21.21	122.8	28	101.6	46	64.9	308	+.024	124	+12.92	28	116.6	29	103.7	33	-2.48	255
29	Kentucky 7	SEC	22-14	+21.09	120.3	40	99.3	28	68.4	126	-.011	213	+16.45	3	119.3	2	102.9	8	+1.06	145
30	Miami FL 7	ACC	26-9	+20.69	121.0	33	100.3	36	67.7	166	+.015	146	+8.54	76	114.3	68	105.7	81	-7.43	338
31	Texas 11	SEC	21-14	+20.24	124.4	15	104.2	81	66.7	222	-.049	307	+14.56	12	118.0	12	103.4	25	-6.50	321
32	North Carolina 6	ACC	24-9	+20.18	120.8	36	100.6	37	68.0	144	+.041	78	+11.29	50	115.4	49	104.1	43	+1.30	138
33	Villanova 8	BE	24-9	+19.66	120.5	39	100.9	41	65.4	291	+.058	47	+10.79	55	115.1	59	104.3	49	+2.73	108
34	Saint Louis 9	A10	29-6	+19.59	120.3	41	100.7	40	71.1	20	+.035	93	+2.63	111	109.9	129	107.3	103	-5.97	315
35	Georgia 8	SEC	22-11	+19.31	124.1	18	104.7	89	71.7	12	-.004	199	+11.11	51	116.2	36	105.1	68	-6.64	325
36	N.C. State 11	ACC	20-14	+19.20	123.1	23	103.9	76	69.1	87	-.043	298	+11.89	40	116.1	37	104.2	47	+4.27	80
