Team,Round,P_Team_In_Rnd,Opponent,P_Opp
Akron,r64,1.0,Texas Tech,1.0
Akron,r32,0.296,Alabama,0.873
Akron,r32,0.296,Hofstra,0.127
Akron,s16,0.068,Georgia,0.072
Akron,s16,0.068,Saint Louis,0.045
Akron,s16,0.068,Howard,0.003
Akron,s16,0.068,Michigan,0.88
Akron,e8,0.007,Iowa State,0.512
Akron,e8,0.007,Virginia,0.222
Akron,e8,0.007,Miami (OH),0.002
Akron,e8,0.007,Tennessee State,0.0
Akron,e8,0.007,Santa Clara,0.024
Akron,e8,0.007,Wright State,0.0
Akron,e8,0.007,Tennessee,0.156
Akron,e8,0.007,Kentucky,0.084
Akron,f4,0.001,Siena,0.0
Akron,f4,0.001,UConn,0.1349
Akron,f4,0.001,South Florida,0.005
Akron,f4,0.001,Furman,0.0
Akron,f4,0.001,TCU,0.005
Akron,f4,0.001,UCLA,0.026
Akron,f4,0.001,Louisville,0.0579
Akron,f4,0.001,Ohio State,0.024
Akron,f4,0.001,Northern Iowa,0.002
Akron,f4,0.001,Michigan State,0.0939
Akron,f4,0.001,North Dakota State,0.0
Akron,f4,0.001,St. John's (NY),0.0949
Akron,f4,0.001,UCF,0.003
Akron,f4,0.001,California Baptist,0.0
Akron,f4,0.001,Kansas,0.048
Akron,f4,0.001,Duke,0.5055
Akron,reach_champ,0.0,Idaho,0.0
Akron,reach_champ,0.0,LIU,0.0
Akron,reach_champ,0.0,Utah State,0.0021
Akron,reach_champ,0.0,Vanderbilt,0.0328
Akron,reach_champ,0.0,Nebraska,0.018
Akron,reach_champ,0.0,Troy,0.0
Akron,reach_champ,0.0,Wisconsin,0.0138
Akron,reach_champ,0.0,Gonzaga,0.0487
Akron,reach_champ,0.0,Prairie View A&M,0.0
Akron,reach_champ,0.0,Iowa,0.0032
Akron,reach_champ,0.0,Texas,0.0021
Akron,reach_champ,0.0,BYU,0.0032
Akron,reach_champ,0.0,Queens (NC),0.0
Akron,reach_champ,0.0,Arizona,0.3104
Akron,reach_champ,0.0,High Point,0.0
Akron,reach_champ,0.0,Miami (FL),0.0032
Akron,reach_champ,0.0,Clemson,0.0021
Akron,reach_champ,0.0,VCU,0.0011
Akron,reach_champ,0.0,Kennesaw State,0.0
Akron,reach_champ,0.0,Texas A&M,0.0021
Akron,reach_champ,0.0,Florida,0.196
Akron,reach_champ,0.0,Villanova,0.0011
Akron,reach_champ,0.0,Purdue,0.0869
Akron,reach_champ,0.0,Hawaii,0.0
Akron,reach_champ,0.0,Missouri,0.0011
Akron,reach_champ,0.0,Houston,0.1472
Akron,reach_champ,0.0,Penn,0.0
Akron,reach_champ,0.0,Arkansas,0.0233
Akron,reach_champ,0.0,McNeese,0.0
Akron,reach_champ,0.0,UNC,0.0011
Akron,reach_champ,0.0,Saint Mary's,0.0053
Akron,reach_champ,0.0,Illinois,0.0953
Alabama,r64,1.0,Hofstra,1.0
Alabama,r32,0.873,Texas Tech,0.704
Alabama,r32,0.873,Akron,0.296
Alabama,s16,0.616,Georgia,0.072
Alabama,s16,0.616,Saint Louis,0.045
Alabama,s16,0.616,Howard,0.003
Alabama,s16,0.616,Michigan,0.88
Alabama,e8,0.152,Iowa State,0.512
Alabama,e8,0.152,Virginia,0.222
Alabama,e8,0.152,Miami (OH),0.002
Alabama,e8,0.152,Tennessee State,0.0
Alabama,e8,0.152,Santa Clara,0.024
Alabama,e8,0.152,Wright State,0.0
Alabama,e8,0.152,Tennessee,0.156
Alabama,e8,0.152,Kentucky,0.084
Alabama,f4,0.063,Siena,0.0
Alabama,f4,0.063,UConn,0.1349
Alabama,f4,0.063,South Florida,0.005
Alabama,f4,0.063,Furman,0.0
Alabama,f4,0.063,TCU,0.005
Alabama,f4,0.063,UCLA,0.026
Alabama,f4,0.063,Louisville,0.0579
Alabama,f4,0.063,Ohio State,0.024
Alabama,f4,0.063,Northern Iowa,0.002
Alabama,f4,0.063,Michigan State,0.0939
Alabama,f4,0.063,North Dakota State,0.0
Alabama,f4,0.063,St. John's (NY),0.0949
Alabama,f4,0.063,UCF,0.003
Alabama,f4,0.063,California Baptist,0.0
Alabama,f4,0.063,Kansas,0.048
Alabama,f4,0.063,Duke,0.5055
Alabama,reach_champ,0.023,Idaho,0.0
Alabama,reach_champ,0.023,LIU,0.0
Alabama,reach_champ,0.023,Utah State,0.0021
Alabama,reach_champ,0.023,Vanderbilt,0.0328
Alabama,reach_champ,0.023,Nebraska,0.018
Alabama,reach_champ,0.023,Troy,0.0
Alabama,reach_champ,0.023,Wisconsin,0.0138
