sb_name,cooper,pomeroy,composite,injury_adjustment,adjusted_composite,rank
Duke,2256.2429,2242.4458,2251.0615,-17.36076,2233.7007,1
Arizona,2210.74,2234.1311,2219.5254,3,2222.5254,1
Michigan,2231.342,2240.751,2234.8877,-17.034889,2217.8528,1
Florida,2173.1299,2161.3923,2168.728,0,2168.728,1
Iowa St.,2157.8569,2125.8438,2145.8005,1.3707039,2147.1711,2
Houston,2150.0471,2134.4397,2144.1821,0,2144.1821,2
Illinois,2077.3291,2089.5334,2081.8782,16,2097.8782,3
Purdue,2105.748,2067.0347,2091.2097,0,2091.2097,2
St. John's,2077.3889,2009.3374,2051.5593,0,2051.5593,5
UConn,2048.7571,2031.7965,2042.382,8.4585934,2050.8406,2
Michigan St.,2032.88,2041.1295,2035.9481,-11,2024.9481,3
Vanderbilt,2001.384,2019.6654,2008.2507,16,2024.2507,5
Virginia,2019.202,2008.8496,2015.3224,3,2018.3224,3
Gonzaga,2031.224,2047.2174,2037.2631,-22.334888,2014.9282,3
Tennessee,1970.412,1999.0376,1981.1672,13,1994.1672,6
Kansas,1940.976,1978.4304,1955.0281,36,1991.0281,4
Arkansas,2000.088,1993.5825,1997.6638,-7,1990.6638,4
Louisville,2001.252,1988.6747,1996.4938,-8.5383215,1987.9554,6
Nebraska,1970.38,2011.5806,1985.8568,0,1985.8568,4
Alabama,1964.262,1986.3021,1972.5409,8,1980.5409,4
Wisconsin,1972.793,1938.5713,1959.9967,11.771134,1971.7678,5
Ohio St.,1944.823,1913.7551,1933.1444,19.562662,1952.707,8
UCLA,1963.297,1900.2733,1939.7159,11.966979,1951.6829,7
Kentucky,1942.571,1913.5477,1931.6835,15,1946.6835,7
Saint Mary's (CA),1938.224,1940.2588,1938.9895,0,1938.9895,7
Iowa,1909.694,1917.6302,1912.6591,0,1912.6591,9
Texas Tech,1972.324,1972.0999,1972.2384,-76.665848,1895.5725,5
U Miami (FL),1887.3521,1893.7046,1889.7373,-1,1888.7373,7
Georgia,1874.558,1888.9087,1879.9633,0,1879.9633,8
Utah St.,1862.0291,1892.2349,1873.3678,0,1873.3678,9
Santa Clara,1867.153,1865.535,1866.5463,3,1869.5463,10
TCU,1876.733,1844.2732,1864.6426,0,1864.6426,9
BYU,1936.548,1940.5223,1938.0397,-74,1864.0397,6
Cincinnati,1868.0811,1851.1912,1861.7244,,1861.7244,
Oklahoma,1874.045,1839.538,1861.1011,,1861.1011,
NC State,1835.816,1868.2549,1847.9171,0.78376693,1848.7009,11b
Auburn,1845.542,1851.6997,1847.8616,,1847.8616,
Texas A&M,1840.082,1862.1427,1848.3051,-1,1847.3051,10
South Florida,1853.4399,1821.5574,1841.4618,-0.1782877,1841.2834,11
SMU,1821.488,1840.0375,1828.4678,8.2401447,1836.7079,11b
Saint Louis,1824.225,1855.2188,1835.906,0,1835.906,9
Villanova,1847.276,1877.3979,1858.5269,-23,1835.5269,8
Texas,1835.121,1852.7255,1841.73,-7.960093,1833.7699,11a
VCU,1833.9,1828.1116,1831.7091,0,1831.7091,11
Clemson,1871.271,1868.3209,1870.1671,-39.281319,1830.8857,8
North Carolina,1910.226,1898.3226,1905.7568,-79,1826.7568,6
Missouri,1800.142,1789.672,1796.2223,25.777908,1822.0002,10
Indiana,1812.985,1821.5496,1816.1907,,1816.1907,
Seton Hall,1812.451,1810.9392,1811.8807,,1811.8807,
Baylor,1820.04,1797.7726,1811.6786,,1811.6786,
San Diego St.,1794.849,1823.5704,1805.5986,,1805.5986,
Washington,1807.187,1789.0371,1800.3956,,1800.3956,
UCF,1783.594,1786.1962,1784.5674,2,1786.5674,10
New Mexico,1769.026,1807.197,1783.3643,,1783.3643,
Northwestern,1788.699,1752.1003,1774.869,,1774.869,
Florida St.,1783.744,1759.3525,1774.5505,,1774.5505,
Northern Iowa,1771.222,1728.2524,1755.1885,15,1770.1885,12
Stanford,1759.059,1754.8633,1757.4783,,1757.4783,
Ole Miss,1760.099,1745.048,1754.522,,1754.522,
Virginia Tech,1750.632,1759.043,1753.7562,,1753.7562,
West Virginia,1742.339,1758.3237,1748.3297,,1748.3297,
Grand Canyon,1739.7629,1762.302,1748.1919,,1748.1919,
McNeese,1738.3669,1740.6262,1739.2141,7,1746.2141,12
Akron,1736.073,1744.7004,1739.343,0,1739.343,12
Boise St.,1731.155,1749.8231,1738.0745,,1738.0745,
Arizona St.,1724.286,1743.9058,1731.6903,,1731.6903,
Tulsa,1721.682,1742.4003,1729.4409,,1729.4409,
Georgetown,1740.278,1708.4501,1728.2832,,1728.2832,
Oklahoma St.,1718.426,1740.7267,1726.7526,,1726.7526,
Belmont,1719.248,1730.6589,1723.5049,,1723.5049,
LSU,1709.6281,1746.7557,1723.3895,,1723.3895,
Minnesota,1729.316,1704.5354,1719.9961,,1719.9961,
Wake Forest,1721.678,1717.1633,1719.9883,,1719.9883,
Providence,1717.312,1722.8013,1719.3718,,1719.3718,
Marquette,1737.113,1688.5487,1718.8156,,1718.8156,
High Point,1710.2209,1660.0126,1691.2764,27,1718.2764,12
Dayton,1715.475,1714.4663,1715.0924,,1715.0924,
Colorado,1704.8409,1728.996,1713.9188,,1713.9188,
California,1705.101,1722.9467,1711.7336,,1711.7336,
Creighton,1706.972,1709.7106,1708.004,,1708.004,
Nevada,1700.142,1714.7949,1705.6384,,1705.6384,
Wichita St.,1700.879,1689.04,1696.4648,,1696.4648,
Yale,1695.6021,1694.9611,1695.3596,,1695.3596,
Hofstra,1703.621,1679.5863,1694.512,0,1694.512,13
USC,1680.2629,1712.307,1692.2566,,1692.2566,
Colorado St.,1682.207,1673.5038,1678.9377,,1678.9377,
Butler,1668.7371,1681.4862,1673.5139,,1673.5139,
George Washington,1657.97,1682.1456,1667.0913,,1667.0913,
Oregon,1683.833,1634.6565,1665.3386,,1665.3386,
Pittsburgh,1676.017,1642.8113,1663.5837,,1663.5837,
