matchup_tree,barttorvik,player_data,espn
Akron,Akron,Akron,Akron
Alabama,Alabama,Alabama,Alabama
Arizona,Arizona,Arizona,Arizona
Arkansas,Arkansas,Arkansas,Arkansas
BYU,BYU,BYU,BYU
California Baptist,Cal Baptist,California Baptist,CA Baptist
Clemson,Clemson,Clemson,Clemson
Duke,Duke,Duke,Duke
Florida,Florida,Florida,Florida
Furman,Furman,Furman,Furman
Georgia,Georgia,Georgia,Georgia
Gonzaga,Gonzaga,Gonzaga,Gonzaga
Hawaii,Hawaii,Hawaii,Hawai'i
High Point,High Point,High Point,High Point
Hofstra,Hofstra,Hofstra,Hofstra
Houston,Houston,Houston,Houston
Howard,Howard,Howard,Howard
Idaho,Idaho,Idaho,Idaho
Illinois,Illinois,Illinois,Illinois
Iowa,Iowa,Iowa,Iowa
Iowa State,Iowa St.,Iowa State,Iowa State
Kansas,Kansas,Kansas,Kansas
Kennesaw State,Kennesaw St.,Kennesaw State,Kennesaw St
Kentucky,Kentucky,Kentucky,Kentucky
LIU,LIU,LIU,Long Island
Louisville,Louisville,Louisville,Louisville
McNeese,McNeese St.,McNeese,McNeese
Miami (FL),Miami FL,Miami (FL),Miami
Miami (OH),Miami OH,Miami (OH),Miami OH
Michigan,Michigan,Michigan,Michigan
Michigan State,Michigan St.,Michigan State,Michigan St
Missouri,Missouri,Missouri,Missouri
Nebraska,Nebraska,Nebraska,Nebraska
North Dakota State,North Dakota St.,North Dakota State,N Dakota St
Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa
Ohio State,Ohio St.,Ohio State,Ohio State
Penn,Penn,Penn,Penn
Prairie View A&M,Prairie View A&M,Prairie View A&M,Prairie View 
Purdue,Purdue,Purdue,Purdue
Queens (NC),Queens,Queens (NC),Queens
Saint Louis,Saint Louis,Saint Louis,Saint Louis
Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's
Santa Clara,Santa Clara,Santa Clara,Santa Clara
Siena,Siena,Siena,Siena
South Florida,South Florida,South Florida,South Florida
St. John's (NY),St. John's,St. John's (NY),St John's
TCU,TCU,TCU,TCU
Tennessee,Tennessee,Tennessee,Tennessee
Tennessee State,Tennessee St.,Tennessee State,Tennessee St
Texas,Texas,Texas,Texas
Texas A&M,Texas A&M,Texas A&M,Texas A&M
Texas Tech,Texas Tech,Texas Tech,Texas Tech
Troy,Troy,Troy,Troy
UCF,UCF,UCF,UCF
UCLA,UCLA,UCLA,UCLA
UConn,Connecticut,UConn,UConn
UNC,North Carolina,UNC,North Carolina
Utah State,Utah St.,Utah State,Utah State
VCU,VCU,VCU,VCU
Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt
Villanova,Villanova,Villanova,Villanova
Virginia,Virginia,Virginia,Virginia
Wisconsin,Wisconsin,Wisconsin,Wisconsin
Wright State,Wright St.,Wright State,Wright St
